	idpedido	cliente	idempleado	idempresa	importe	pais
71	10319	TORTU	7	3	64.5	Mexico
72	10320	WARTH	5	3	34.57	Finlandia
73	10321	ISLAT	3	2	3.43	Reino Unido
74	10322	PERIC	7	3	0.4	Mexico
75	10323	KOENE	4	1	4.88	Alemania
76	10324	SAVEA	9	1	214.27	Estados Unidos
77	10325	KOENE	1	3	64.86	Alemania
78	10326	BOLID	4	2	77.92	Espanya
79	10327	FOLKO	2	1	63.36	Suecia
80	10328	FURIB	4	3	87.03	Portugal
81	10329	SPLIR	4	2	191.67	Estados Unidos
82	10330	LILAS	3	1	12.75	Venezuela
83	10331	BONAP	9	1	10.19	Francia
84	10332	MEREP	3	2	52.84	Canada
85	10333	WARTH	5	3	0.59	Finlandia
86	10334	VICTE	8	2	8.56	Francia
87	10335	HUNGO	7	2	42.11	Irlanda
88	10336	PRINI	7	2	15.51	Portugal
89	10337	FRANK	4	3	108.26	Alemania
90	10338	OLDWO	4	3	84.21	Estados Unidos
91	10339	MEREP	2	2	15.66	Canada
92	10340	BONAP	1	3	166.31	Francia
93	10341	SIMOB	7	3	26.78	Dinamarca
94	10342	FRANK	4	2	54.83	Alemania
95	10343	LEHMS	4	1	110.37	Alemania
96	10344	WHITC	4	2	23.29	Estados Unidos
97	10345	QUICK	2	2	249.06	Alemania
98	10346	RATTC	3	3	142.08	Estados Unidos
99	10347	FAMIA	4	3	3.1	Brasil
100	10348	WANDK	4	2	0.78	Alemania
101	10349	SPLIR	7	1	8.63	Estados Unidos
102	10350	LAMAI	6	2	64.19	Francia
103	10351	ERNSH	1	1	162.33	Austria
104	10352	FURIB	3	3	1.3	Portugal
105	10353	PICCO	7	3	360.63	Austria
106	10354	PERIC	8	3	53.8	Mexico
107	10355	AROUT	6	1	41.95	Reino Unido
108	10356	WANDK	6	2	36.71	Alemania
109	10357	LILAS	1	3	34.88	Venezuela
110	10358	LAMAI	5	1	19.64	Francia
111	10359	SEVES	5	3	288.43	Reino Unido
112	10360	BLONP	4	3	131.7	Francia
113	10361	QUICK	1	2	183.17	Alemania
114	10362	BONAP	3	1	96.04	Francia
115	10363	DRACD	4	3	30.54	Alemania
116	10364	EASTC	1	1	71.97	Reino Unido
117	10365	ANTON	3	2	22.0	Mexico
118	10366	GALED	8	2	10.14	Espanya
119	10367	VAFFE	7	3	13.55	Dinamarca
120	10368	ERNSH	2	2	101.95	Austria
121	10369	SPLIR	8	2	195.68	Estados Unidos
122	10370	CHOPS	6	2	1.17	Suiza
123	10371	LAMAI	1	1	0.45	Francia
124	10372	QUEEN	5	2	890.78	Brasil
125	10373	HUNGO	4	3	124.12	Irlanda
126	10374	WOLZA	1	3	3.94	Polonia
127	10375	HUNGC	3	2	20.12	Estados Unidos
128	10376	MEREP	1	2	20.39	Canada
129	10377	SEVES	1	3	22.21	Reino Unido
130	10378	FOLKO	5	3	5.44	Suecia
131	10379	QUEDE	2	1	45.03	Brasil
132	10380	HUNGO	8	3	35.03	Irlanda
133	10381	LILAS	3	3	7.99	Venezuela
134	10382	ERNSH	4	1	94.77	Austria
135	10383	AROUT	8	3	34.24	Reino Unido
136	10384	BERGS	3	3	168.64	Suecia
137	10385	SPLIR	1	2	30.96	Estados Unidos
138	10386	FAMIA	9	3	13.99	Brasil
139	10387	SANTG	1	2	93.63	Noruega
140	10388	SEVES	2	1	34.86	Reino Unido
141	10389	BOTTM	4	2	47.42	Canada
142	10390	ERNSH	6	1	126.38	Austria
143	10391	DRACD	3	3	5.45	Alemania
144	10392	PICCO	2	3	122.46	Austria
145	10393	SAVEA	1	3	126.56	Estados Unidos
146	10394	HUNGC	1	3	30.34	Estados Unidos
147	10395	HILAA	6	1	184.41	Venezuela
148	10396	FRANK	1	3	135.35	Alemania
149	10397	PRINI	5	1	60.26	Portugal
150	10398	SAVEA	2	3	89.16	Estados Unidos
151	10399	VAFFE	8	3	27.36	Dinamarca
152	10400	EASTC	1	3	83.93	Reino Unido
153	10401	RATTC	1	1	12.51	Estados Unidos
154	10402	ERNSH	8	2	67.88	Austria
155	10403	ERNSH	4	3	73.79	Austria
156	10404	MAGAA	2	1	155.97	Italia
157	10405	LINOD	1	1	34.82	Venezuela
158	10406	QUEEN	7	1	108.04	Brasil
159	10407	OTTIK	2	2	91.48	Alemania
160	10408	FOLIG	8	1	11.26	Francia
161	10409	OCEAN	3	1	29.83	Argentina
162	10410	BOTTM	3	3	2.4	Canada
163	10411	BOTTM	9	3	23.65	Canada
164	10412	WARTH	8	2	3.77	Finlandia
165	10413	LAMAI	3	2	95.66	Francia
166	10414	FAMIA	2	3	21.48	Brasil
167	10415	HUNGC	3	1	0.2	Estados Unidos
168	10416	WARTH	8	3	22.72	Finlandia
169	10417	SIMOB	4	3	70.29	Dinamarca
170	10418	QUICK	4	1	17.55	Alemania
171	10419	RICSU	4	2	137.35	Suiza
172	10420	WELLI	3	1	44.12	Brasil
173	10421	QUEDE	8	1	99.23	Brasil
174	10422	FRANS	2	1	3.02	Italia
175	10423	GOURL	6	3	24.5	Brasil
176	10424	MEREP	7	2	370.61	Canada
177	10425	LAMAI	6	2	7.93	Francia
178	10426	GALED	4	1	18.69	Espanya
179	10427	PICCO	4	2	31.29	Austria
180	10428	REGGC	7	1	11.09	Italia
181	10429	HUNGO	3	2	56.63	Irlanda
182	10430	ERNSH	4	1	458.78	Austria
183	10431	BOTTM	4	2	44.17	Canada
184	10432	SPLIR	3	2	4.34	Estados Unidos
185	10433	PRINI	3	3	73.83	Portugal
186	10434	FOLKO	3	2	17.92	Suecia
187	10435	CONSH	8	2	9.21	Reino Unido
188	10436	BLONP	3	2	156.66	Francia
189	10437	WARTH	8	1	19.97	Finlandia
190	10438	TOMSP	3	2	8.24	Alemania
191	10439	MEREP	6	3	4.07	Canada
192	10440	SAVEA	4	2	86.53	Estados Unidos
193	10441	OLDWO	3	2	73.02	Estados Unidos
194	10442	ERNSH	3	2	47.94	Austria
195	10443	REGGC	8	1	13.95	Italia
196	10444	BERGS	3	3	3.5	Suecia
197	10445	BERGS	3	1	9.3	Suecia
198	10446	TOMSP	6	1	14.68	Alemania
199	10447	RICAR	4	2	68.66	Brasil
200	10448	RANCH	4	2	38.82	Argentina
201	10449	BLONP	3	2	53.3	Francia
202	10450	VICTE	8	2	7.23	Francia
203	10451	QUICK	4	3	189.09	Alemania
204	10452	SAVEA	8	1	140.26	Estados Unidos
205	10453	AROUT	1	2	25.36	Reino Unido
206	10454	LAMAI	4	3	2.74	Francia
207	10455	WARTH	8	2	180.45	Finlandia
208	10456	KOENE	8	2	8.12	Alemania
209	10457	KOENE	2	1	11.57	Alemania
210	10458	SUPRD	7	3	147.06	Belgica
211	10459	VICTE	4	2	25.09	Francia
212	10460	FOLKO	8	1	16.27	Suecia
213	10461	LILAS	1	3	148.61	Venezuela
214	10462	CONSH	2	1	6.17	Reino Unido
215	10463	SUPRD	5	3	14.78	Belgica
216	10464	FURIB	4	2	89.0	Portugal
217	10465	VAFFE	1	3	145.04	Dinamarca
218	10466	COMMI	4	1	11.93	Brasil
219	10467	MAGAA	8	2	4.93	Italia
220	10468	KOENE	3	3	44.12	Alemania
221	10469	WHITC	1	1	60.18	Estados Unidos
222	10470	BONAP	4	2	64.56	Francia
223	10471	BSBEV	2	3	45.59	Reino Unido
224	10472	SEVES	8	1	4.2	Reino Unido
225	10473	ISLAT	1	3	16.37	Reino Unido
226	10474	PERIC	5	2	83.49	Mexico
227	10475	SUPRD	9	1	68.52	Belgica
228	10476	HILAA	8	3	4.41	Venezuela
229	10477	PRINI	5	2	13.02	Portugal
230	10478	VICTE	2	3	4.81	Francia
231	10479	RATTC	3	3	708.95	Estados Unidos
232	10480	FOLIG	6	2	1.35	Francia
233	10481	RICAR	8	2	64.33	Brasil
234	10482	LAZYK	1	3	7.48	Estados Unidos
235	10483	WHITC	7	2	15.28	Estados Unidos
236	10484	BSBEV	3	3	6.88	Reino Unido
237	10485	LINOD	4	2	64.45	Venezuela
238	10486	HILAA	1	2	30.53	Venezuela
239	10487	QUEEN	2	2	71.07	Brasil
240	10488	FRANK	8	2	4.93	Alemania
241	10489	PICCO	6	2	5.29	Austria
242	10490	HILAA	7	2	210.19	Venezuela
243	10491	FURIB	8	3	16.96	Portugal
244	10492	BOTTM	3	1	62.89	Canada
245	10493	LAMAI	4	3	10.64	Francia
246	10494	COMMI	4	2	65.99	Brasil
247	10495	LAUGB	3	3	4.65	Canada
248	10496	TRADH	7	2	46.77	Brasil
249	10497	LEHMS	7	1	36.21	Alemania
250	10498	HILAA	8	2	29.75	Venezuela
251	10499	LILAS	4	2	102.02	Venezuela
252	10500	LAMAI	6	1	42.68	Francia
253	10501	BLAUS	9	3	8.85	Alemania
254	10502	PERIC	2	1	69.32	Mexico
255	10503	HUNGO	6	2	16.74	Irlanda
256	10504	WHITC	4	3	59.13	Estados Unidos
257	10505	MEREP	3	3	7.13	Canada
258	10506	KOENE	9	2	21.19	Alemania
259	10507	ANTON	7	1	47.45	Mexico
260	10508	OTTIK	1	2	4.99	Alemania
261	10509	BLAUS	4	1	0.15	Alemania
262	10510	SAVEA	6	3	367.63	Estados Unidos
263	10511	BONAP	4	3	350.64	Francia
264	10512	FAMIA	7	2	3.53	Brasil
265	10513	WANDK	7	1	105.65	Alemania
266	10514	ERNSH	3	2	789.95	Austria
267	10515	QUICK	2	1	204.47	Alemania
268	10516	HUNGO	2	3	62.78	Irlanda
269	10517	NORTS	3	3	32.07	Reino Unido
270	10518	TORTU	4	2	218.15	Mexico
271	10519	CHOPS	6	3	91.76	Suiza
272	10520	SANTG	7	1	13.37	Noruega
273	10521	CACTU	8	2	17.22	Argentina
274	10522	LEHMS	4	1	45.33	Alemania
275	10523	SEVES	7	2	77.63	Reino Unido
276	10524	BERGS	1	2	244.79	Suecia
277	10525	BONAP	1	2	11.06	Francia
278	10526	WARTH	4	2	58.59	Finlandia
279	10527	QUICK	7	1	41.9	Alemania
280	10528	GREAL	6	2	3.35	Estados Unidos
281	10529	MAISD	5	2	66.69	Belgica
282	10530	PICCO	3	2	339.22	Austria
283	10531	OCEAN	7	1	8.12	Argentina
284	10532	EASTC	7	3	74.46	Reino Unido
285	10533	FOLKO	8	1	188.04	Suecia
286	10534	LEHMS	8	2	27.94	Alemania
287	10535	ANTON	4	1	15.64	Mexico
288	10536	LEHMS	3	2	58.88	Alemania
289	10537	RICSU	1	1	78.85	Suiza
290	10538	BSBEV	9	3	4.87	Reino Unido
291	10539	BSBEV	6	3	12.36	Reino Unido
292	10540	QUICK	3	3	1007.64	Alemania
293	10541	HANAR	2	1	68.65	Brasil
294	10542	KOENE	1	3	10.95	Alemania
295	10543	LILAS	8	2	48.17	Venezuela
296	10544	LONEP	4	1	24.91	Estados Unidos
297	10545	LAZYK	8	2	11.92	Estados Unidos
298	10546	VICTE	1	3	194.72	Francia
299	10547	SEVES	3	2	178.43	Reino Unido
300	10548	TOMSP	3	2	1.43	Alemania
301	10549	QUICK	5	1	171.24	Alemania
302	10550	GODOS	7	3	4.32	Espanya
303	10551	FURIB	4	3	72.95	Portugal
304	10552	HILAA	2	1	83.22	Venezuela
305	10553	WARTH	2	2	149.49	Finlandia
306	10554	OTTIK	4	3	120.97	Alemania
307	10555	SAVEA	6	3	252.49	Estados Unidos
308	10556	SIMOB	2	1	9.8	Dinamarca
309	10557	LEHMS	9	2	96.72	Alemania
310	10558	AROUT	1	2	72.97	Reino Unido
311	10559	BLONP	6	1	8.05	Francia
312	10560	FRANK	8	1	36.65	Alemania
313	10561	FOLKO	2	2	242.21	Suecia
314	10562	REGGC	1	1	22.95	Italia
315	10563	RICAR	2	2	60.43	Brasil
316	10564	RATTC	4	3	13.75	Estados Unidos
317	10565	MEREP	8	2	7.15	Canada
318	10566	BLONP	9	1	88.4	Francia
319	10567	HUNGO	1	1	33.97	Irlanda
320	10568	GALED	3	3	6.54	Espanya
321	10569	RATTC	5	1	58.98	Estados Unidos
322	10570	MEREP	3	3	188.99	Canada
323	10571	ERNSH	8	3	26.06	Austria
324	10572	BERGS	3	2	116.43	Suecia
325	10573	ANTON	7	3	84.84	Mexico
326	10574	TRAIH	4	2	37.6	Estados Unidos
327	10575	MORGK	5	1	127.34	Alemania
328	10576	TORTU	3	3	18.56	Mexico
329	10577	TRAIH	9	2	25.41	Estados Unidos
330	10578	BSBEV	4	3	29.6	Reino Unido
331	10579	LETSS	1	2	13.73	Estados Unidos
332	10580	OTTIK	4	3	75.89	Alemania
333	10581	FAMIA	3	1	3.01	Brasil
334	10582	BLAUS	3	2	27.71	Alemania
335	10583	WARTH	2	2	7.28	Finlandia
336	10584	BLONP	4	1	59.14	Francia
337	10585	WELLI	7	1	13.41	Brasil
338	10586	REGGC	9	1	0.48	Italia
339	10587	QUEDE	1	1	62.52	Brasil
340	10588	QUICK	2	3	194.67	Alemania
341	10589	GREAL	8	2	4.42	Estados Unidos
342	10590	MEREP	4	3	44.77	Canada
343	10591	VAFFE	1	1	55.92	Dinamarca
344	10592	LEHMS	3	1	32.1	Alemania
345	10593	LEHMS	7	2	174.2	Alemania
346	10594	OLDWO	3	2	5.24	Estados Unidos
347	10595	ERNSH	2	1	96.78	Austria
348	10596	WHITC	8	1	16.34	Estados Unidos
349	10597	PICCO	7	3	35.12	Austria
350	10598	RATTC	1	3	44.42	Estados Unidos
351	10599	BSBEV	6	3	29.98	Reino Unido
352	10600	HUNGC	4	1	45.13	Estados Unidos
353	10601	HILAA	7	1	58.3	Venezuela
354	10602	VAFFE	8	2	2.92	Dinamarca
355	10603	SAVEA	8	2	48.77	Estados Unidos
356	10604	FURIB	1	1	7.46	Portugal
357	10605	MEREP	1	2	379.13	Canada
358	10606	TRADH	4	3	79.4	Brasil
359	10607	SAVEA	5	1	200.24	Estados Unidos
360	10608	TOMSP	4	2	27.79	Alemania
361	10609	DUMON	7	2	1.85	Francia
362	10610	LAMAI	8	1	26.78	Francia
363	10611	WOLZA	6	2	80.65	Polonia
364	10612	SAVEA	1	2	544.08	Estados Unidos
365	10613	HILAA	4	2	8.11	Venezuela
366	10614	BLAUS	8	3	1.93	Alemania
367	10615	WILMK	2	3	0.75	Finlandia
368	10616	GREAL	1	2	116.53	Estados Unidos
369	10617	GREAL	4	2	18.53	Estados Unidos
370	10618	MEREP	1	1	154.68	Canada
371	10619	MEREP	3	3	91.05	Canada
372	10620	LAUGB	2	3	0.94	Canada
373	10621	ISLAT	4	2	23.73	Reino Unido
374	10622	RICAR	4	3	50.97	Brasil
375	10623	FRANK	8	2	97.18	Alemania
376	10624	THECR	4	2	94.8	Estados Unidos
377	10625	ANATR	3	1	43.9	Mexico
378	10626	BERGS	1	2	138.69	Suecia
379	10627	SAVEA	8	3	107.46	Estados Unidos
380	10628	BLONP	4	3	30.36	Francia
381	10629	GODOS	4	3	85.46	Espanya
382	10630	KOENE	1	2	32.35	Alemania
383	10631	LAMAI	8	1	0.87	Francia
384	10632	WANDK	8	1	41.38	Alemania
385	10633	ERNSH	7	3	477.9	Austria
386	10634	FOLIG	4	3	487.38	Francia
387	10635	MAGAA	8	3	47.46	Italia
388	10636	WARTH	4	1	1.15	Finlandia
389	10637	QUEEN	6	1	201.29	Brasil
390	10638	LINOD	3	1	158.44	Venezuela
391	10639	SANTG	7	3	38.64	Noruega
392	10640	WANDK	4	1	23.55	Alemania
393	10641	HILAA	4	2	179.61	Venezuela
394	10642	SIMOB	7	3	41.89	Dinamarca
395	10643	ALFKI	6	2	29.46	Alemania
396	10644	WELLI	3	2	0.14	Brasil
397	10645	HANAR	4	1	12.41	Brasil
398	10646	HUNGO	9	3	142.33	Irlanda
399	10647	QUEDE	4	2	45.54	Brasil
400	10648	RICAR	5	2	14.25	Brasil
401	10649	MAISD	5	3	6.2	Belgica
402	10650	FAMIA	5	3	176.81	Brasil
403	10651	WANDK	8	2	20.6	Alemania
404	10652	GOURL	4	2	7.14	Brasil
405	10653	FRANK	1	1	93.25	Alemania
406	10654	BERGS	5	1	55.26	Suecia
407	10655	REGGC	1	2	4.41	Italia
408	10656	GREAL	6	1	57.15	Estados Unidos
409	10657	SAVEA	2	2	352.69	Estados Unidos
410	10658	QUICK	4	1	364.15	Alemania
411	10659	QUEEN	7	2	105.81	Brasil
412	10660	HUNGC	8	1	111.29	Estados Unidos
413	10661	HUNGO	7	3	17.55	Irlanda
414	10662	LONEP	3	2	1.28	Estados Unidos
415	10663	BONAP	2	2	113.15	Francia
416	10664	FURIB	1	3	1.27	Portugal
417	10665	LONEP	1	2	26.31	Estados Unidos
418	10666	RICSU	7	2	232.42	Suiza
419	10667	ERNSH	7	1	78.09	Austria
420	10668	WANDK	1	2	47.22	Alemania
421	10669	SIMOB	2	1	24.39	Dinamarca
422	10670	FRANK	4	1	203.48	Alemania
423	10671	FRANR	1	1	30.34	Francia
424	10672	BERGS	9	2	95.75	Suecia
425	10673	WILMK	2	1	22.76	Finlandia
426	10674	ISLAT	4	2	0.9	Reino Unido
427	10675	FRANK	5	2	31.85	Alemania
428	10676	TORTU	2	2	2.01	Mexico
429	10677	ANTON	1	3	4.03	Mexico
430	10678	SAVEA	7	3	388.98	Estados Unidos
431	10679	BLONP	8	3	27.94	Francia
432	10680	OLDWO	1	1	26.61	Estados Unidos
433	10681	GREAL	3	3	76.13	Estados Unidos
434	10682	ANTON	3	2	36.13	Mexico
435	10683	DUMON	2	1	4.4	Francia
436	10684	OTTIK	3	1	145.63	Alemania
437	10685	GOURL	4	2	33.75	Brasil
438	10686	PICCO	2	1	96.5	Austria
439	10687	HUNGO	9	2	296.43	Irlanda
440	10688	VAFFE	4	2	299.09	Dinamarca
441	10689	BERGS	1	2	13.42	Suecia
442	10690	HANAR	1	1	15.8	Brasil
443	10691	QUICK	2	2	810.05	Alemania
444	10692	ALFKI	4	2	61.02	Alemania
445	10693	WHITC	3	3	139.34	Estados Unidos
446	10694	QUICK	8	3	398.36	Alemania
447	10695	WILMK	7	1	16.72	Finlandia
448	10696	WHITC	8	3	102.55	Estados Unidos
449	10697	LINOD	3	1	45.52	Venezuela
450	10698	ERNSH	4	1	272.47	Austria
451	10699	MORGK	3	3	0.58	Alemania
452	10700	SAVEA	3	1	65.1	Estados Unidos
453	10701	HUNGO	6	3	220.31	Irlanda
454	10702	ALFKI	4	1	23.94	Alemania
455	10703	FOLKO	6	2	152.3	Suecia
456	10704	QUEEN	6	1	4.78	Brasil
457	10705	HILAA	9	2	3.52	Venezuela
458	10706	OLDWO	8	3	135.63	Estados Unidos
459	10707	AROUT	4	3	21.74	Reino Unido
460	10708	THEBI	6	2	2.96	Estados Unidos
461	10709	GOURL	1	3	210.8	Brasil
462	10710	FRANS	1	1	4.98	Italia
463	10711	SAVEA	5	2	52.41	Estados Unidos
464	10712	HUNGO	3	1	89.93	Irlanda
465	10713	SAVEA	1	1	167.05	Estados Unidos
466	10714	SAVEA	5	3	24.49	Estados Unidos
467	10715	BONAP	3	1	63.2	Francia
468	10716	RANCH	4	2	22.57	Argentina
469	10717	FRANK	1	2	59.25	Alemania
470	10718	KOENE	1	3	170.88	Alemania
471	10719	LETSS	8	2	51.44	Estados Unidos
472	10720	QUEDE	8	2	9.53	Brasil
473	10721	QUICK	5	3	48.92	Alemania
474	10722	SAVEA	8	1	74.58	Estados Unidos
475	10723	WHITC	3	1	21.72	Estados Unidos
476	10724	MEREP	8	2	57.75	Canada
477	10725	FAMIA	4	3	10.83	Brasil
478	10726	EASTC	4	1	16.56	Reino Unido
479	10727	REGGC	2	1	89.9	Italia
480	10728	QUEEN	4	2	58.33	Brasil
481	10729	LINOD	8	3	141.06	Venezuela
482	10730	BONAP	5	1	20.12	Francia
483	10731	CHOPS	7	1	96.65	Suiza
484	10732	BONAP	3	1	16.97	Francia
485	10733	BERGS	1	3	110.11	Suecia
486	10734	GOURL	2	3	1.63	Brasil
487	10735	LETSS	6	2	45.97	Estados Unidos
488	10736	HUNGO	9	2	44.1	Irlanda
489	10737	VINET	2	2	7.79	Francia
490	10738	SPECD	2	1	2.91	Francia
491	10739	VINET	3	3	11.08	Francia
492	10740	WHITC	4	2	81.88	Estados Unidos
493	10741	BERGS	4	3	10.96	Suecia
494	10742	BOTTM	3	3	243.73	Canada
495	10743	AROUT	1	2	23.72	Reino Unido
496	10744	VAFFE	6	1	69.19	Dinamarca
497	10745	QUICK	9	1	3.52	Alemania
498	10746	CHOPS	1	3	31.43	Suiza
499	10747	PICCO	6	1	117.33	Austria
500	10748	SAVEA	3	1	232.55	Estados Unidos
501	10749	ISLAT	4	2	61.53	Reino Unido
502	10750	WARTH	9	1	79.3	Finlandia
503	10751	RICSU	3	3	130.79	Suiza
504	10752	NORTS	2	3	1.39	Reino Unido
505	10753	FRANS	3	1	7.7	Italia
506	10754	MAGAA	6	3	2.38	Italia
507	10755	BONAP	4	2	16.71	Francia
508	10756	SPLIR	8	2	73.21	Estados Unidos
509	10757	SAVEA	6	1	8.19	Estados Unidos
510	10758	RICSU	3	3	138.17	Suiza
511	10759	ANATR	3	3	11.99	Mexico
512	10760	MAISD	4	1	155.64	Belgica
513	10761	RATTC	5	2	18.66	Estados Unidos
514	10762	FOLKO	3	1	328.74	Suecia
515	10763	FOLIG	3	3	37.35	Francia
516	10764	ERNSH	6	3	145.45	Austria
517	10765	QUICK	3	3	42.74	Alemania
518	10766	OTTIK	4	1	157.55	Alemania
519	10767	SUPRD	4	3	1.59	Belgica
520	10768	AROUT	3	2	146.32	Reino Unido
521	10769	VAFFE	3	1	65.06	Dinamarca
522	10770	HANAR	8	3	5.32	Brasil
523	10771	ERNSH	9	2	11.19	Austria
524	10772	LEHMS	3	2	91.28	Alemania
525	10773	ERNSH	1	3	96.43	Austria
526	10774	FOLKO	4	1	48.2	Suecia
527	10775	THECR	7	1	20.25	Estados Unidos
528	10776	ERNSH	1	3	351.53	Austria
529	10777	GOURL	7	2	3.01	Brasil
530	10778	BERGS	3	1	6.79	Suecia
531	10779	MORGK	3	2	58.13	Alemania
532	10780	LILAS	2	1	42.13	Venezuela
533	10781	WARTH	2	3	73.16	Finlandia
534	10782	CACTU	9	3	1.1	Argentina
535	10783	HANAR	4	2	124.98	Brasil
536	10784	MAGAA	4	3	70.09	Italia
537	10785	GROSR	1	3	1.51	Venezuela
538	10786	QUEEN	8	1	110.87	Brasil
539	10787	LAMAI	2	1	249.93	Francia
540	10788	QUICK	1	2	42.7	Alemania
541	10789	FOLIG	1	2	100.6	Francia
542	10790	GOURL	6	1	28.23	Brasil
543	10791	FRANK	6	2	16.85	Alemania
544	10792	WOLZA	1	3	23.79	Polonia
545	10793	AROUT	3	3	4.52	Reino Unido
546	10794	QUEDE	6	1	21.49	Brasil
547	10795	ERNSH	8	2	126.66	Austria
548	10796	HILAA	3	1	26.52	Venezuela
549	10797	DRACD	7	2	33.35	Alemania
550	10798	ISLAT	2	1	2.33	Reino Unido
551	10799	KOENE	9	3	30.76	Alemania
552	10800	SEVES	1	3	137.44	Reino Unido
553	10801	BOLID	4	2	97.09	Espanya
554	10802	SIMOB	4	2	257.26	Dinamarca
555	10803	WELLI	4	1	55.23	Brasil
556	10804	SEVES	6	2	27.33	Reino Unido
557	10805	THEBI	2	3	237.34	Estados Unidos
558	10806	VICTE	3	2	22.11	Francia
559	10807	FRANS	4	1	1.36	Italia
560	10808	OLDWO	2	3	45.53	Estados Unidos
561	10809	WELLI	7	1	4.87	Brasil
562	10810	LAUGB	2	3	4.33	Canada
563	10811	LINOD	8	1	31.22	Venezuela
564	10812	REGGC	5	1	59.78	Italia
565	10813	RICAR	1	1	47.38	Brasil
566	10814	VICTE	3	3	130.94	Francia
567	10815	SAVEA	2	3	14.62	Estados Unidos
568	10816	GREAL	4	2	719.78	Estados Unidos
569	10817	KOENE	3	2	306.07	Alemania
570	10818	MAGAA	7	3	65.48	Italia
571	10819	CACTU	2	3	19.76	Argentina
572	10820	RATTC	3	2	37.52	Estados Unidos
573	10821	SPLIR	1	1	36.68	Estados Unidos
574	10822	TRAIH	6	3	7.0	Estados Unidos
575	10823	LILAS	5	2	163.97	Venezuela
576	10824	FOLKO	8	1	1.23	Suecia
577	10825	DRACD	1	1	79.25	Alemania
578	10826	BLONP	6	1	7.09	Francia
579	10827	BONAP	1	2	63.54	Francia
580	10828	RANCH	9	1	90.85	Argentina
581	10829	ISLAT	9	1	154.72	Reino Unido
582	10830	TRADH	4	2	81.83	Brasil
